                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.93642,                 0.3794,                 1.2386,                0.99227,                 0.9951,                0.99374,                0.78387,                0.83079,                0.29133,                 1.2785,              0.0003268,              0.0003268,              0.0003268
                     36,                0.93724,                0.37807,                 1.2378,                 0.9922,                0.99545,                0.99376,                0.78563,                0.82999,                0.29008,                 1.2774,               0.000307,               0.000307,               0.000307
                     37,                 0.9327,                0.37478,                 1.2355,                0.99201,                 0.9957,                0.99396,                0.78589,                0.82925,                0.28868,                 1.2764,              0.0002872,              0.0002872,              0.0002872
                     38,                 0.9291,                0.37225,                 1.2342,                0.99227,                0.99547,                0.99389,                0.78673,                0.82837,                0.28752,                 1.2756,              0.0002674,              0.0002674,              0.0002674
                     39,                0.92411,                0.36874,                 1.2321,                0.99161,                  0.996,                0.99397,                0.78771,                0.82705,                 0.2865,                 1.2745,              0.0002476,              0.0002476,              0.0002476
                     40,                0.92221,                0.36716,                 1.2305,                 0.9921,                0.99578,                0.99386,                0.78797,                0.82567,                0.28534,                 1.2738,              0.0002278,              0.0002278,              0.0002278
                     41,                0.92015,                0.36438,                 1.2292,                0.99237,                0.99566,                0.99402,                0.78977,                0.82457,                0.28449,                 1.2729,               0.000208,               0.000208,               0.000208
                     42,                0.91758,                0.36269,                 1.2253,                0.99269,                0.99576,                0.99399,                0.79006,                0.82353,                0.28341,                 1.2722,              0.0001882,              0.0001882,              0.0001882
                     43,                0.91468,                0.35946,                 1.2231,                0.99286,                0.99593,                0.99401,                0.79154,                0.82229,                0.28236,                 1.2716,              0.0001684,              0.0001684,              0.0001684
                     44,                 0.9105,                0.35574,                 1.2215,                0.99306,                0.99602,                0.99395,                  0.792,                 0.8212,                0.28158,                 1.2706,              0.0001486,              0.0001486,              0.0001486
                     45,                0.90197,                0.35044,                 1.2177,                0.99325,                0.99598,                0.99404,                0.79283,                0.82021,                0.28067,                   1.27,              0.0001288,              0.0001288,              0.0001288
                     46,                0.90029,                0.34724,                  1.216,                0.99373,                0.99573,                0.99391,                0.79422,                0.81947,                0.28002,                 1.2694,               0.000109,               0.000109,               0.000109
                     47,                0.89561,                0.34287,                 1.2109,                0.99377,                0.99576,                0.99393,                0.79529,                0.81829,                0.27904,                 1.2686,               8.92e-05,               8.92e-05,               8.92e-05
                     48,                0.89096,                0.33858,                  1.209,                0.99407,                0.99559,                0.99391,                0.79606,                 0.8173,                0.27814,                 1.2679,               6.94e-05,               6.94e-05,               6.94e-05
                     49,                0.88445,                0.33466,                 1.2027,                0.99415,                0.99566,                0.99395,                0.79652,                0.81633,                0.27711,                 1.2671,               4.96e-05,               4.96e-05,               4.96e-05
